09xy.sk;ALL4-0004;ALL4-0004;NEW;DOM_OK;norm.ns.cloudflare.com;sara.ns.cloudflare.com;;;36654965;18.02.2018
100mbit.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;boyd.ns.cloudflare.com;grace.ns.cloudflare.com;;;36421928;28.07.2017
11a.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;max.ns.cloudflare.com;vita.ns.cloudflare.com;;;36421928;09.05.2017
27august.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;aron.ns.cloudflare.com;hans.ns.cloudflare.com;;;36421928;09.04.2017
320kbps.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;jerome.ns.cloudflare.com;robin.ns.cloudflare.com;;;36421928;30.11.2017
3f.sk;WEBS-0001;3FIN-0001;NEW;DOM_OK;scott.ns.cloudflare.com;wanda.ns.cloudflare.com;;;36203661;07.11.2017
3mdom.sk;IPEK-0001;IPEK-0001;NEW;DOM_OK;gordon.ns.cloudflare.com;pola.ns.cloudflare.com;;;36743852;10.01.2018
3montplus.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;amber.ns.cloudflare.com;carter.ns.cloudflare.com;;;36421928;06.04.2017
4fstore.sk;WEBG-0001;WEBG-0001;NEW;DOM_OK;olga.ns.cloudflare.com;doug.ns.cloudflare.com;;;36306444;27.06.2017
69angels.sk;GLOB-0079;GLOB-0079;NEW;DOM_OK;dan.ns.cloudflare.com;erin.ns.cloudflare.com;;;35564555;24.08.2017
a32.sk;WEBS-0001;DUAN-0329;NEW;DOM_OK;aiden.ns.cloudflare.com;vida.ns.cloudflare.com;;;43013830;26.02.2018
aastudio.sk;GRAN-0063;LADI-0968;NEW;DOM_OK;sean.ns.cloudflare.com;tegan.ns.cloudflare.com;;;50193597;09.05.2017
abovia96.sk;ISKI-0001;KABO-0003;NEW;DOM_OK;brenda.ns.cloudflare.com;jack.ns.cloudflare.com;;;35526955;19.05.2017
absalon.sk;IPEK-0001;ALEX-0400;NEW;DOM_OK;mona.ns.cloudflare.com;amit.ns.cloudflare.com;;;;02.03.2018
accelera.sk;ACCE-0025;ACCE-0025;NEW;DOM_OK;coby.ns.cloudflare.com;sofia.ns.cloudflare.com;;;36361623;15.05.2017
adart.sk;WEBS-0001;ADAR-0003;NEW;DOM_OK;ada.ns.cloudflare.com;kai.ns.cloudflare.com;;;35762594;13.02.2018
adbee.sk;WEBS-0001;ADBE-0001;NEW;DOM_OK;sofia.ns.cloudflare.com;vick.ns.cloudflare.com;;;46796045;10.08.2017
adblock.sk;WEBG-0001;WEBG-0001;NEW;DOM_OK;bonnie.ns.cloudflare.com;nash.ns.cloudflare.com;;;36306444;13.11.2017
adboost.sk;PLAT-0008;RIEE-0001;NEW;DOM_OK;luke.ns.cloudflare.com;tia.ns.cloudflare.com;;;35948345;08.06.2017
additiva.sk;WEBS-0001;ISDD-0001;NEW;DOM_OK;alex.ns.cloudflare.com;emma.ns.cloudflare.com;;;35774720;31.07.2017
ade.sk;MEDI-0127;ADEP-0002;NEW;DOM_OK;brad.ns.cloudflare.com;rita.ns.cloudflare.com;;;46679766;15.10.2017
adetsk.sk;EURO-0005;TIBO-0468;NEW;DOM_OK;ns.euronet.sk;ns.euronet.info;ns.euronet.biz;ns.euronet.mobi;;26.04.2017
adlen.sk;OCSI-0001;ADLE-0005;NEW;DOM_OK;burt.ns.cloudflare.com;tess.ns.cloudflare.com;;;36500020;18.04.2017
adoree.sk;AITS-0001;KARI-0008;NEW;DOM_OK;beth.ns.cloudflare.com;cody.ns.cloudflare.com;;;37563301;04.09.2017
adosrepiska.sk;GLOB-0079;MART-4019;NEW;DOM_OK;dean.ns.cloudflare.com;jocelyn.ns.cloudflare.com;;;;19.10.2017
adrenalinovenebo.sk;GRMA-0001;GRMA-0001;NEW;DOM_OK;nina.ns.cloudflare.com;phil.ns.cloudflare.com;;;35859563;05.07.2017
adresar.sk;WEBG-0001;BLUE-0058;NEW;DOM_OK;jade.ns.cloudflare.com;will.ns.cloudflare.com;;;44665024;21.06.2017
adriasun.sk;ISKI-0001;GABR-0314;NEW;DOM_OK;graham.ns.cloudflare.com;nadia.ns.cloudflare.com;;;37465023;16.12.2017
aether.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;jean.ns.cloudflare.com;rodney.ns.cloudflare.com;;;36421928;25.12.2017
agmo.sk;IGNU-0001;IGNU-0001;NEW;DOM_OK;dara.ns.cloudflare.com;seth.ns.cloudflare.com;;;36614203;16.06.2017
agra.sk;ENEL-0002;AGRA-0006;NEW;DOM_OK;boyd.ns.cloudflare.com;lorna.ns.cloudflare.com;;;36382914;04.10.2017
agrotur.sk;WEBS-0001;MART-0152;NEW;DOM_OK;kai.ns.cloudflare.com;marjory.ns.cloudflare.com;;;44135246;20.02.2018
ajprodukty.sk;NETR-0002;AJSL-0001;NEW;DOM_OK;dawn.ns.cloudflare.com;gabe.ns.cloudflare.com;;;36268518;29.01.2018
akademiahomeopatie.sk;EXOT-0004;EXOT-0004;NEW;DOM_WARN;mario.ns.cloudflare.com;pola.ns.cloudflare.com;;;36485161;19.03.2017
akafuka.sk;WEBS-0001;SECT-0003;NEW;DOM_OK;kip.ns.cloudflare.com;meera.ns.cloudflare.com;;;36628719;20.04.2017
akt.sk;WEBG-0001;BLUE-0058;NEW;DOM_OK;jade.ns.cloudflare.com;will.ns.cloudflare.com;;;44665024;09.03.2018
aktualne.sk;NEWS-0010;NEWS-0010;NEW;DOM_OK;chuck.ns.cloudflare.com;erin.ns.cloudflare.com;;;47256281;16.12.2017
alaba.sk;GRAN-0063;RAMP-0021;NEW;DOM_WARN;isla.ns.cloudflare.com;jake.ns.cloudflare.com;;;44796668;18.03.2017
alaindelon.sk;WEBS-0001;LWSI-0001;NEW;DOM_OK;glen.ns.cloudflare.com;jocelyn.ns.cloudflare.com;;;35775521;10.03.2018
alastra.sk;JPDD-0002;JPDD-0002;NEW;DOM_OK;grace.ns.cloudflare.com;matt.ns.cloudflare.com;;;36293946;01.02.2018
alfa-port.sk;ISKI-0001;URBA-0032;NEW;DOM_OK;bruce.ns.cloudflare.com;tia.ns.cloudflare.com;;;48254410;28.09.2017
alfaport.sk;ISKI-0001;URBA-0032;NEW;DOM_OK;bruce.ns.cloudflare.com;tia.ns.cloudflare.com;;;48254410;28.09.2017
alfatour.sk;ZONE-0002;DVID-0021;NEW;DOM_OK;aragorn.ns.cloudflare.com;lisa.ns.cloudflare.com;;;;06.10.2017
alimaniacky.sk;GRAN-0063;GRAN-0063;NEW;DOM_OK;mark.ns.cloudflare.com;mona.ns.cloudflare.com;;;45914796;14.03.2018
alpha-port.sk;ISKI-0001;URBA-0032;NEW;DOM_OK;bruce.ns.cloudflare.com;tia.ns.cloudflare.com;;;48254410;28.09.2017
alphaport.sk;ISKI-0001;URBA-0032;NEW;DOM_OK;bruce.ns.cloudflare.com;tia.ns.cloudflare.com;;;48254410;28.09.2017
amarion.sk;RJAR-0001;RJAR-0001;NEW;DOM_OK;owen.ns.cloudflare.com;zoe.ns.cloudflare.com;;;36730947;20.01.2018
ambulanciamotylik.sk;STAL-0014;DETS-0061;NEW;DOM_OK;ken.ns.cloudflare.com;laura.ns.cloudflare.com;;;36869775;19.06.2017
analda.sk;IPEK-0001;IPEK-0001;NEW;DOM_OK;lynn.ns.cloudflare.com;vida.ns.cloudflare.com;;;36743852;15.07.2017
androidak.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;kip.ns.cloudflare.com;meera.ns.cloudflare.com;;;36421928;26.08.2017
anglictina-rychlejsie.sk;WEBG-0001;MART-1045;NEW;DOM_OK;ben.ns.cloudflare.com;zoe.ns.cloudflare.com;;;;27.12.2017
animaky.sk;WEBS-0001;SECT-0003;NEW;DOM_OK;kip.ns.cloudflare.com;meera.ns.cloudflare.com;;;36628719;01.10.2017
anjelnadeje.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;emma.ns.cloudflare.com;norm.ns.cloudflare.com;;;36421928;22.06.2017
answear.sk;IGNU-0001;IGNU-0001;NEW;DOM_OK;carol.ns.cloudflare.com;john.ns.cloudflare.com;;;36614203;07.12.2017
antiviry.sk;WEBG-0001;BLUE-0058;NEW;DOM_OK;jade.ns.cloudflare.com;will.ns.cloudflare.com;;;44665024;30.12.2017
antmedia.sk;WEBS-0001;ANTM-0002;NEW;DOM_OK;abby.ns.cloudflare.com;theo.ns.cloudflare.com;;;47226803;06.01.2018
appkaren.sk;EXOT-0004;AINS-0006;NEW;DOM_OK;alex.ns.cloudflare.com;athena.ns.cloudflare.com;;;50418840;16.10.2017
aquadigital.sk;GLOB-0079;GLOB-0079;NEW;DOM_OK;curt.ns.cloudflare.com;tina.ns.cloudflare.com;;;35564555;25.04.2017
aquarionovezamky.sk;INET-0003;PAVO-0167;NEW;DOM_OK;gina.ns.cloudflare.com;paul.ns.cloudflare.com;;;36821608;14.10.2017
aquaruthenia.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;ivy.ns.cloudflare.com;will.ns.cloudflare.com;;;36421928;02.02.2018
aquilon-sro.sk;WEBG-0001;WEBG-0001;NEW;DOM_OK;abby.ns.cloudflare.com;kip.ns.cloudflare.com;;;36306444;14.06.2017
arbonne.sk;WEBG-0001;JURA-0120;NEW;DOM_OK;buck.ns.cloudflare.com;tani.ns.cloudflare.com;;;40301796;25.04.2017
arionta.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;donald.ns.cloudflare.com;zelda.ns.cloudflare.com;;;36421928;12.06.2017
aromarketing.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;abby.ns.cloudflare.com;arch.ns.cloudflare.com;;;36421928;04.08.2017
artcasting.sk;REPL-0003;REPL-0003;NEW;DOM_OK;dolly.ns.cloudflare.com;earl.ns.cloudflare.com;;;44924097;13.09.2017
artefuego.sk;WEBS-0001;CZCZ-0002;NEW;DOM_OK;jake.ns.cloudflare.com;kay.ns.cloudflare.com;;;31363181;16.10.2017
asaka.sk;EXOT-0004;EXOT-0004;NEW;DOM_OK;erin.ns.cloudflare.com;ed.ns.cloudflare.com;;;36485161;10.01.2018
asianaglobal.sk;SECU-0026;SECU-0026;NEW;DOM_OK;amit.ns.cloudflare.com;beth.ns.cloudflare.com;;;50342657;05.10.2017
askforta.sk;ELBI-0002;ELBI-0002;NEW;DOM_OK;rob.ns.cloudflare.com;vera.ns.cloudflare.com;;;36702897;22.05.2017
atelier1.sk;WEBS-0001;TOMN-0006;NEW;DOM_OK;isla.ns.cloudflare.com;jake.ns.cloudflare.com;;;36640336;05.06.2017
atlas.sk;NEWS-0010;NEWS-0010;NEW;DOM_OK;chuck.ns.cloudflare.com;erin.ns.cloudflare.com;;;47256281;23.09.2017
auctiontime.sk;PLAT-0008;PLAT-0008;NEW;DOM_OK;ingrid.ns.cloudflare.com;noel.ns.cloudflare.com;;;36279129;16.08.2017
audioline.sk;AUDI-0014;AUDI-0014;NEW;DOM_OK;clay.ns.cloudflare.com;mary.ns.cloudflare.com;;;35827009;24.07.2017
audioteka.sk;ISKI-0001;BOOK-0002;NEW;DOM_OK;bella.ns.cloudflare.com;guss.ns.cloudflare.com;;;45930546;26.12.2017
auditas.sk;WEBG-0001;SEGE-0001;NEW;DOM_OK;coco.ns.cloudflare.com;cody.ns.cloudflare.com;;;36288969;18.05.2017
auto-forever.sk;EXOT-0004;EXOT-0004;NEW;DOM_OK;ivan.ns.cloudflare.com;lucy.ns.cloudflare.com;;;36485161;04.12.2017
auto-suciastky.sk;WEBG-0001;BLUE-0058;NEW;DOM_OK;jade.ns.cloudflare.com;will.ns.cloudflare.com;;;44665024;12.07.2017
autobusar.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;carl.ns.cloudflare.com;fay.ns.cloudflare.com;;;36421928;20.01.2018
autodielylukov.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;art.ns.cloudflare.com;fay.ns.cloudflare.com;;;36421928;08.04.2017
autokoberce-online.sk;WEBG-0001;WEBG-0001;NEW;DOM_OK;dan.ns.cloudflare.com;meera.ns.cloudflare.com;;;36306444;29.06.2017
autoobrana.sk;XPAY-0002;BCLU-0001;NEW;DOM_OK;charles.ns.cloudflare.com;nadia.ns.cloudflare.com;;;40024181;08.10.2017
autoskola-peterson.sk;GLOB-0079;GLOB-0079;NEW;DOM_OK;nina.ns.cloudflare.com;phil.ns.cloudflare.com;;;35564555;19.12.2017
autoskola-tomi.sk;ISKI-0001;IVAN-0084;NEW;DOM_OK;nina.ns.cloudflare.com;phil.ns.cloudflare.com;;;30103134;18.08.2017
autoskolabosak.sk;ISKI-0001;SKRO-0054;NEW;DOM_OK;nina.ns.cloudflare.com;phil.ns.cloudflare.com;;;14042088;22.12.2017
autoskoladubravka.sk;WEBS-0001;WEBS-0001;NEW;DOM_LNOT;nina.ns.cloudflare.com;phil.ns.cloudflare.com;;;36421928;10.03.2017
autoskolagps.sk;WEBS-0001;WEBS-0001;NEW;DOM_OK;graham.ns.cloudflare.com;tina.ns.cloudflare.com;;;36421928;26.07.2017
avonsutaz.sk;IGNU-0001;PACK-0002;NEW;DOM_OK;dara.ns.cloudflare.com;seth.ns.cloudflare.com;;;44465009;14.09.2017
